Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","57","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2116","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","33","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","304","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1557","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","304","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1258","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1962","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","45","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1245","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","172","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","129","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","21","S","Données standardisées"
