Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","63","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","646","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","47","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","207","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","42","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","78","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","152","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","656","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","5911","Exportations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
